# N	pid	stat 	E 	Px	Py	Pz	Eta	Phi
67 -421 0 4.3044 0.803094 -0.923432 -3.68137 -1.82102 5.4282
4 -421 0 19.4659 15.8906 0.383709 -11.0808 -0.650303 0.0241423
36 -421 0 10.5226 -0.117816 4.6514 9.25195 1.43845 1.59612
46 -421 0 8.11378 1.416 6.05288 4.86963 0.719625 1.34099
9 -421 0 8.98017 7.15507 -1.35719 -4.91209 -0.631645 6.09573
23 -421 0 6.48506 -1.9807 3.89066 4.41792 0.889786 2.04169
40 -421 0 21.2382 -1.13811 -2.46655 -20.981 -2.7416 4.28008
19 -421 0 3.33344 -1.07106 -2.54592 -0.0724597 -0.0262311 4.31417
44 -421 0 19.2854 -1.07504 -0.450708 19.1597 3.49356 3.53858
4 -421 0 18.9697 -18.5616 -1.89945 2.86964 0.153198 3.24357
18 -421 0 7.88887 -0.0434632 -7.04535 -3.01958 -0.416442 4.70622
32 -421 0 8.70339 -1.79337 -7.42903 3.72351 0.469748 4.47552
55 -421 0 8.01315 1.04739 6.20254 -4.60046 -0.678162 1.40351
74 -421 0 5.70793 -3.10898 0.971515 -4.30038 -1.09074 2.83872
11 -421 0 14.075 2.90246 -11.2551 7.71532 0.622742 4.96477
16 -421 0 14.071 10.4518 -6.46825 -6.59061 -0.513351 5.72901
28 -421 0 8.85693 -6.60946 5.53284 0.818687 0.0948376 2.44463
25 -421 0 4.26767 3.26702 1.895 -0.686182 -0.180697 0.525614
25 -421 0 10.7136 -0.289211 10.201 2.67547 0.259256 1.59914
89 -421 0 8.39459 6.32591 2.59133 -4.50103 -0.618272 0.388787
30 -421 0 10.378 -0.41425 -2.31338 -9.93486 -2.14841 4.5352
8 -421 0 14.244 11.7924 -7.72051 0.864715 0.0613111 5.70351
32 -421 0 2.8165 1.9244 -0.825594 -0.264661 -0.126055 5.87792
13 -421 0 11.3619 -5.15764 3.27723 -9.39535 -1.21539 2.57554
69 -421 0 4.5176 -3.6028 0.446975 1.93678 0.510961 3.01816
3 -421 0 19.7889 -14.213 -5.66478 -12.4105 -0.741334 3.52086
26 -421 0 6.99269 -1.72311 -4.60393 -4.61028 -0.836734 4.35426
8 -421 0 2.07833 0.0717759 0.794058 0.453971 0.5424 1.48065
18 -421 0 14.2314 -1.93037 9.57227 10.1833 0.911345 1.76979
31 -421 0 13.6446 5.09207 7.6956 9.87649 0.930222 0.98625
44 -421 0 3.216 -1.23356 -1.35745 1.87099 0.895482 3.97477
2 -421 0 20.9859 -11.3735 -13.4999 11.195 0.597924 4.01227
53 -421 0 5.47054 4.709 0.967472 -1.82714 -0.37147 0.202632
14 -421 0 6.04139 -3.74878 2.19055 3.76416 0.784094 2.61277
56 -421 0 2.77063 -0.238196 -1.3834 -1.49271 -0.925478 4.54188
46 -421 0 5.0194 4.27888 0.0498195 1.84535 0.418883 0.0116426
18 -421 0 7.74385 1.08498 -0.700726 -7.40418 -2.44684 5.70974
30 -421 0 16.9468 0.951292 1.67994 16.7328 2.85601 1.05555
45 -421 0 7.92849 7.41181 1.90692 0.901105 0.117472 0.25182
16 -421 0 7.43517 4.78644 -4.19435 3.36178 0.506324 5.56362
64 -421 0 2.55617 -1.17832 0.0929054 -1.2881 -0.943456 3.06291
29 -421 0 2.42918 -1.0769 0.852461 -0.732698 -0.510945 2.472
15 -421 0 4.29286 -3.16039 0.737026 2.10229 0.609394 2.91248
26 -421 0 3.22472 -1.28491 -1.4318 -1.79445 -0.833018 3.98101
6 -421 0 4.29933 -3.08144 -0.821568 2.19917 0.64412 3.40215
14 -421 0 4.4911 -2.60394 2.46124 1.96316 0.523641 2.38436
25 -421 0 8.54249 0.0668703 6.55805 -5.14626 -0.720663 1.5606
30 -421 0 3.12462 -1.14618 -1.25694 1.84171 0.938644 3.97305
102 -421 0 2.96231 0.690012 -2.00141 -0.903219 -0.414661 5.04439
45 -421 0 5.24203 1.89393 -4.4952 0.455382 0.0932213 5.11114
54 -421 0 7.29985 -0.641325 -4.06206 5.73569 1.13492 4.5558
13 -421 0 11.3305 -8.7091 2.12778 -6.67278 -0.688575 2.90197
42 -421 0 3.18993 2.10964 -1.41174 0.504345 0.1974 5.69344
